Prediction_Date,Actual_Price,Predicted_LSTM_Price,Predicted_ARIMA_Price
1999-12-01 00:00:00,578.7132724,581.7785645,N/A
2000-01-01 00:00:00,578.7132724,581.671814,N/A
2000-02-01 00:00:00,600.7594923,581.7830811,N/A
2000-03-01 00:00:00,600.7594923,602.6662598,N/A
2000-04-01 00:00:00,617.2941572,605.8756714,N/A
2000-05-01 00:00:00,606.2710473,621.0861206,N/A
2000-06-01 00:00:00,606.2710473,611.8084717,N/A
2000-07-01 00:00:00,606.2710473,609.4844971,N/A
2000-08-01 00:00:00,584.2248274,609.1036987,N/A
2000-09-01 00:00:00,545.6439425,587.9720459,N/A
2000-10-01 00:00:00,545.6439425,549.1138916,N/A
2000-11-01 00:00:00,545.6439425,544.9788818,N/A
2000-12-01 00:00:00,545.6439425,546.5397339,N/A
2001-01-01 00:00:00,534.6208326,548.2547607,N/A
2001-02-01 00:00:00,534.6208326,539.3391113,N/A
2001-03-01 00:00:00,534.6208326,537.9633179,N/A
2001-04-01 00:00:00,523.5977226,538.0932617,N/A
2001-05-01 00:00:00,512.5746127,528.2630005,N/A
2001-06-01 00:00:00,512.5746127,516.4470825,N/A
2001-07-01 00:00:00,496.0399478,514.2365723,N/A
2001-08-01 00:00:00,496.0399478,499.8042297,N/A
2001-09-01 00:00:00,496.0399478,496.9473572,N/A
2001-10-01 00:00:00,462.9706179,497.1611023,N/A
2001-11-01 00:00:00,451.947508,469.5924072,N/A
2001-12-01 00:00:00,451.947508,453.9618835,N/A
2002-01-01 00:00:00,473.9937279,451.1178284,N/A
2002-02-01 00:00:00,473.9937279,469.6661987,N/A
2002-03-01 00:00:00,490.5283928,475.5528259,N/A
2002-04-01 00:00:00,551.1554975,490.2220764,N/A
2002-05-01 00:00:00,661.386597,544.994812,N/A
2002-06-01 00:00:00,661.386597,657.2988281,N/A
2002-07-01 00:00:00,661.386597,678.3649292,N/A
2002-08-01 00:00:00,661.386597,670.9172974,N/A
2002-09-01 00:00:00,650.3634871,663.6186523,N/A
2002-10-01 00:00:00,617.2941572,649.3953857,N/A
2002-11-01 00:00:00,578.7132724,614.9855957,N/A
2002-12-01 00:00:00,562.1786075,575.6050415,N/A
2003-01-01 00:00:00,562.1786075,558.7498169,N/A
2003-02-01 00:00:00,545.6439425,560.2788086,N/A
2003-03-01 00:00:00,545.6439425,548.2250977,N/A
2003-04-01 00:00:00,545.6439425,548.4385376,N/A
2003-05-01 00:00:00,545.6439425,549.9862061,N/A
2003-06-01 00:00:00,523.5977226,550.5281372,N/A
2003-07-01 00:00:00,523.5977226,530.5619507,N/A
2003-08-01 00:00:00,523.5977226,526.5812988,N/A
2003-09-01 00:00:00,523.5977226,526.1643066,N/A
2003-10-01 00:00:00,523.5977226,526.2159424,N/A
2003-11-01 00:00:00,523.5977226,526.2559204,N/A
2003-12-01 00:00:00,545.6439425,526.269043,N/A
2004-01-01 00:00:00,593.4107523,545.7457886,N/A
2004-02-01 00:00:00,609.5779802,592.930603,N/A
2004-03-01 00:00:00,799.1754714,616.2716675,N/A
2004-04-01 00:00:00,821.2216913,803.1113892,N/A
2004-05-01 00:00:00,837.7563562,848.491394,N/A
2004-06-01 00:00:00,859.8025761,850.6213379,N/A
2004-07-01 00:00:00,970.0336756,863.9719238,N/A
2004-08-01 00:00:00,1003.103005,986.5523682,N/A
2004-09-01 00:00:00,1014.126115,1010.28064,N/A
2004-10-01 00:00:00,975.5452306,1007.841553,N/A
2004-11-01 00:00:00,925.9412358,951.9640503,N/A
2004-12-01 00:00:00,925.9412358,897.7150879,N/A
2005-01-01 00:00:00,920.4296808,911.4435425,N/A
2005-02-01 00:00:00,898.3834609,907.6681519,N/A
2005-03-01 00:00:00,881.848796,886.0022583,N/A
2005-04-01 00:00:00,801.4098856,874.1535645,N/A
2005-05-01 00:00:00,801.4098856,783.2205811,N/A
2005-06-01 00:00:00,760.5945866,800.9171143,N/A
2005-07-01 00:00:00,710.9905918,756.7955322,N/A
2005-08-01 00:00:00,694.4559269,707.6442871,N/A
2005-09-01 00:00:00,788.1523614,696.3858032,N/A
2005-10-01 00:00:00,832.2448012,803.1574707,N/A
2005-11-01 00:00:00,832.2448012,852.5368652,N/A
2005-12-01 00:00:00,832.2448012,846.137146,N/A
2006-01-01 00:00:00,832.2448012,841.5046387,N/A
2006-02-01 00:00:00,832.2448012,838.0254517,N/A
2006-03-01 00:00:00,859.8025761,835.0448608,N/A
2006-04-01 00:00:00,876.337241,865.3694458,N/A
2006-05-01 00:00:00,936.9643458,880.9159546,N/A
2006-06-01 00:00:00,975.5452306,950.1466675,N/A
2006-07-01 00:00:00,986.5683405,986.7097168,N/A
2006-08-01 00:00:00,981.0567856,989.125061,N/A
2006-09-01 00:00:00,964.5221206,976.3735352,N/A
2006-10-01 00:00:00,936.9643458,953.7584839,N/A
2006-11-01 00:00:00,914.9181259,921.2913818,N/A
2006-12-01 00:00:00,876.337241,900.6339722,N/A
2007-01-01 00:00:00,848.7794662,859.6976929,N/A
2007-02-01 00:00:00,848.7794662,837.4746704,N/A
2007-03-01 00:00:00,870.8256861,846.3908691,N/A
2007-04-01 00:00:00,876.337241,876.4157715,N/A
2007-05-01 00:00:00,870.8256861,882.0101929,N/A
2007-06-01 00:00:00,854.2910211,875.126709,N/A
2007-07-01 00:00:00,843.2679112,855.7744141,N/A
2007-08-01 00:00:00,832.2448012,844.5377808,N/A
2007-09-01 00:00:00,848.7794662,832.7260132,N/A
2007-10-01 00:00:00,830.0401792,853.9208984,N/A
2007-11-01 00:00:00,830.0401792,829.8555908,N/A
2007-12-01 00:00:00,859.8025761,832.3031006,N/A
2008-01-01 00:00:00,942.4759007,868.3164063,N/A
2008-02-01 00:00:00,1006.409938,964.1039429,N/A
2008-03-01 00:00:00,1083.571708,1028.946167,N/A
2008-04-01 00:00:00,1182.779698,1108.863647,N/A
2008-05-01 00:00:00,1403.241897,1212.781128,N/A
